cnt,daddr,dport,hst,last,proto,saddr,sport,uri
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:41:54.988,6,10.2.0.1,1733,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:41:55.988,6,10.2.0.1,1733,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:41:56.988,6,10.2.0.1,1733,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:41:59.988,6,10.2.0.1,1733,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:42:02.988,6,10.2.0.1,1733,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:42:03.988,6,10.2.0.1,1736,/HWJavaSocket/images/device.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:42:03.988,6,10.2.0.1,1734,/HWJavaSocket/images/uon_logo_black_transparent_bg_small.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:42:03.988,6,10.2.0.1,1735,/HWJavaSocket/images/users.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:42:03.988,6,10.2.0.1,1733,/HWJavaSocket/js/styles.css
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:42:05.989,6,10.2.0.1,1733,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:42:11.988,6,10.2.0.1,1733,/HWJavaSocket/device.htm?ip=10.2.0.1&month=APRIL
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:42:28.988,6,10.2.0.1,1733,/HWJavaSocket/update.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:43:08.988,6,10.2.0.1,1733,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:43:09.99,6,10.2.0.1,1733,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:46:22.988,6,10.2.0.1,1743,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:46:23.988,6,10.2.0.1,1743,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:46:24.989,6,10.2.0.1,1743,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:46:26.99,6,10.2.0.1,1743,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:46:27.988,6,10.2.0.1,1743,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:46:28.988,6,10.2.0.1,1743,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:46:29.988,6,10.2.0.1,1743,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:46:30.99,6,10.2.0.1,1743,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:46:31.988,6,10.2.0.1,1743,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:46:32.991,6,10.2.0.1,1743,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:46:34.988,6,10.2.0.1,1743,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:46:35.989,6,10.2.0.1,1743,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:46:36.99,6,10.2.0.1,1743,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:46:37.989,6,10.2.0.1,1743,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:46:38.988,6,10.2.0.1,1743,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:46:39.988,6,10.2.0.1,1743,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:46:40.988,6,10.2.0.1,1743,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:46:45.989,6,10.2.0.1,1743,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:46:46.989,6,10.2.0.1,1743,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:46:47.988,6,10.2.0.1,1743,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:47:09.988,6,10.2.0.1,1750,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:47:10.988,6,10.2.0.1,1750,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:47:12.988,6,10.2.0.1,1750,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:47:13.987,6,10.2.0.1,1755,/HWJavaSocket/images/device.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:47:14.989,6,10.2.0.1,1752,/HWJavaSocket/js/HWStatsUsageFlows_sql_.csv
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:47:14.989,6,10.2.0.1,1753,/HWJavaSocket/images/uon_logo_black_transparent_bg_small.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:47:14.989,6,10.2.0.1,1750,/HWJavaSocket/js/styles.css
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:47:14.989,6,10.2.0.1,1754,/HWJavaSocket/images/users.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:49:23.988,6,10.2.0.1,1762,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:49:24.987,6,10.2.0.1,1762,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:49:26.988,6,10.2.0.1,1762,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:49:27.988,6,10.2.0.1,1762,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:49:28.988,6,10.2.0.1,1762,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:49:30.989,6,10.2.0.1,1762,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:50:20.989,6,10.2.0.1,1788,/HWJavaSocket/js/styles.css
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:50:20.989,6,10.2.0.1,1790,/HWJavaSocket/images/users.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:50:20.989,6,10.2.0.1,1791,/HWJavaSocket/images/device.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:51:39.988,6,10.2.0.1,1799,/HWJavaSocket/deviceday.htm?ip=10.2.0.1&month=MAY
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:51:47.988,6,10.2.0.1,1799,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:54:03.988,6,10.2.0.1,1806,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:54:04.987,6,10.2.0.1,1806,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:54:05.988,6,10.2.0.1,1806,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:54:07.988,6,10.2.0.1,1806,/favicon.ico
