daddr,dport,last,nbytes,npkts,proto,saddr,sport
10.2.0.2,53,2012-04-25 18:33:55.951,91,1,17,10.2.0.1,54214
10.2.0.1,54214,2012-04-25 18:33:55.951,91,1,17,10.2.0.2,53
10.2.0.1,49396,2012-04-25 18:33:59.955,88,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:33:59.955,88,1,17,10.2.0.1,49396
10.2.0.2,53,2012-04-25 18:34:13.966,82,1,17,10.2.0.1,61739
daddr,dport,last,nbytes,npkts,proto,saddr,sport
10.2.0.2,22,2012-04-25 18:02:16.934,840386,573,6,10.2.0.1,1123
10.2.0.1,1123,2012-04-25 18:02:16.934,21700,330,6,10.2.0.2,22
10.2.0.1,1099,2012-04-25 18:02:17.935,102,1,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:02:17.935,134,1,6,10.2.0.1,1099
10.2.0.2,53,2012-04-25 18:02:18.937,79,1,17,10.2.0.1,57744
10.2.0.1,1099,2012-04-25 18:02:18.937,488,4,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:02:18.937,430,5,6,10.2.0.1,1099
10.2.0.1,57744,2012-04-25 18:02:18.938,79,1,17,10.2.0.2,53
10.2.0.1,56699,2012-04-25 18:02:19.939,75,1,17,10.2.0.2,53
10.2.0.1,1099,2012-04-25 18:02:19.939,7232,16,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:02:19.94,968,12,6,10.2.0.1,1099
10.2.0.2,53,2012-04-25 18:02:19.94,75,1,17,10.2.0.1,56699
10.2.0.1,1099,2012-04-25 18:02:20.941,9282,11,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:02:20.941,806,9,6,10.2.0.1,1099
10.2.0.1,1099,2012-04-25 18:02:21.943,14592,16,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:02:21.943,1022,13,6,10.2.0.1,1099
10.2.0.1,1518,2012-04-25 18:02:26.947,120,2,6,10.2.0.2,8080
10.2.0.2,8080,2012-04-25 18:02:26.947,657,3,6,10.2.0.1,1518
10.2.0.1,53426,2012-04-25 18:02:26.947,104,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:02:26.947,104,1,17,10.2.0.1,53426
10.2.0.1,1099,2012-04-25 18:02:28.949,578,3,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:02:28.95,268,2,6,10.2.0.1,1099
10.2.0.1,1099,2012-04-25 18:02:29.951,220,2,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:02:29.951,188,2,6,10.2.0.1,1099
10.2.0.1,1518,2012-04-25 18:02:29.951,9099,5,6,10.2.0.2,8080
10.2.0.2,8080,2012-04-25 18:02:29.951,548,4,6,10.2.0.1,1518
